ID,DUID,npi_facility_id
34,SHGEN,570290
175,LI_WY_CA,624154
178,MEADOWBK,624158
231,MURRAY,501130
5,BW01,487984
6,BW02,487984
7,BW03,487984
8,BW04,487984
15,ER01,485958
16,ER02,485958
17,ER03,485958
18,ER04,485958
25,LD01,484792
26,LD02,484792
27,LD03,484792
28,LD04,484792
29,MM3,483844
30,MM4,483844
31,MP1,483618
32,MP2,483618
33,REDBANK1,489648
43,VP5,483772
44,VP6,483772
47,WW7,483692
48,WW8,483692
63,CALL_A_4,500664
64,CALL_B_1,500664
65,CALL_B_2,500664
71,CPP_3,500664
72,CPP_4,500664
75,GSTONE1,501482
76,GSTONE2,501482
77,GSTONE3,501482
78,GSTONE4,501482
79,GSTONE5,501482
80,GSTONE6,501482
86,KPP_1,501612
88,MPP_1,501450
89,MPP_2,501450
99,STAN-1,501558
100,STAN-2,501558
101,STAN-3,501558
102,STAN-4,501558
108,TARONG#1,501616
109,TARONG#2,501616
110,TARONG#3,501616
111,TARONG#4,501616
112,TNPS1,501636
497,None,500664
10,CG1,567524
11,CG2,567524
12,CG3,567524
13,CG4,567524
39,URANQ11,558218
40,URANQ12,558218
41,URANQ13,558218
42,URANQ14,558218
56,BRAEMAR1,548940
57,BRAEMAR2,548940
58,BRAEMAR3,548940
59,BRAEMAR5,568308
60,BRAEMAR6,568308
61,BRAEMAR7,568308
93,OAKEY1,501502
94,OAKEY2,501502
96,ROMA_7,501520
97,ROMA_8,501520
118,AGLHAL,519640
125,DRYCGT1,515348
126,DRYCGT2,515348
127,DRYCGT3,515348
130,LADBROK1,519004
131,LADBROK2,519004
135,MINTARO,519436
145,QPS1,519022
146,QPS2,519022
147,QPS3,519022
148,QPS4,519022
149,QPS5,519022
164,BBTHREE1,521446
165,BBTHREE2,521446
166,BBTHREE3,521446
191,TVPP104,521446
193,AGLSOM,535358
195,BDL01,534196
196,BDL02,534196
211,JLA01,529420
212,JLA02,529420
213,JLA03,529420
214,JLA04,529420
215,JLB01,529420
216,JLB02,529420
217,JLB03,529420
218,LAVNORTH,536484
229,MORTLK11,589260
230,MORTLK12,589260
236,VPGS,534522
336,VPGS1,534522
337,VPGS2,534522
338,VPGS3,534522
339,VPGS4,534522
340,VPGS5,534522
341,VPGS6,534522
349,LNGS1,536484
350,LNGS2,536484
23,HVGTS,558196
87,MACKAYGT,501578
90,MSTUART1,501464
91,MSTUART2,501464
92,MSTUART3,501464
142,POR01,519454
143,POR03,519454
151,SNUG1,519472
279,ERGT01,485958
35,SITHE01,495530
36,TALWA1,571274
53,BARCALDN,500700
73,CPSA,564538
74,DDPS1,568932
107,SWAN_E,500736
115,YABULU,501554
116,YABULU2,501554
140,OSB-AG,515328
144,PPCCGT,515150
190,TVCC201,549184
497,None,493922
497,None,519472
631,EASTCRK2,493922
98,RPCG,501598
525,BWTR1,613290
526,CONDONG1,613288
527,EDLRGNRD,500850
529,SUNCOAST,501418
51,SHPUMP,570290
153,TORRA1,514728
154,TORRA2,514728
155,TORRA3,514728
156,TORRA4,514728
157,TORRB1,514728
158,TORRB2,514728
159,TORRB3,514728
160,TORRB4,514728
232,NPS,526780
138,NPS1,514650
139,NPS2,514650
141,PLAYB-AG,514650
203,HWPS1,526934
204,HWPS2,526934
205,HWPS3,526934
206,HWPS4,526934
207,HWPS5,526934
208,HWPS6,526934
209,HWPS7,526934
210,HWPS8,526934
219,LOYYB1,532928
220,LOYYB2,532928
221,LYA1,526972
222,LYA2,526972
223,LYA3,526972
224,LYA4,526972
226,MOR1,527088
227,MOR2,527088
228,MOR3,527088
241,YWPS1,526764
242,YWPS2,526764
243,YWPS3,526764
244,YWPS4,526764
280,GERMCRK,500858
295,MBAHNTH,561912
530,BBASEHOS,557028
531,DAANDINE,500660
532,MORANBAH,501410
533,OAKY2,605674
534,OAKYCREK,605674
535,TERALBA,605722
536,TGNSS1,635096
537,WILGAPK,585780
538,WILGB01,585780
629,APPIN,486022
632,GLENNCRK,605724
634,TOWER,493908
642,GROSV1,634434
643,GROSV2,634434
687,TAHMOOR1,605686
369,MLSP1,482890
370,BARCSF1,500700
659,PARSF1,539154
706,DDSF1,568932
720,CSPVPS,500680
119,ANGAS1,520170
120,ANGAS2,520170
352,LONSDALE,520186
353,PTSTAN1,585786
355,CATAGUN1,624154
356,GEORGTN1,624156
359,MEADOWB2,624158
360,PORTLAT1,624160
361,QUERIVE1,624162
362,BBDISEL1,521446
363,ANGAST1,520170
365,STANV2,585786
367,STANV1,585786
530,BBASEHOS,557028
541,BLULAKE1,560182
497,None,526308
548,MORNW,536506
550,AGLSITA1,631906
552,BPLANDF1,500814
553,BROADMDW,524476
554,BROOKLYN,534866
555,CLAYTON,524890
556,CORIO1,533328
557,EASTCRK,493922
558,GRANGEAV,484050
559,HALLAMRD1,557032
560,JACKSGUL,490124
561,KINCUM1,570274
562,LUCAS2S2,486420
563,LUCASHGT,486420
564,PEDLER1,519722
565,ROCHEDAL,557006
566,SHEP1,574832
567,SVALE1,524930
568,TATURA01,574834
571,WHIT1,557008
572,WING1_1,519668
573,WING2_1,519704
574,WOLLERT1,557034
575,WOYWOY1,570300
576,WYNDW,536500
577,AWABAREF,557022
578,REMOUNT,557036
626,HIGHBRY1,519686
627,TEATREE1,519740
630,BERWICK,526308
641,STAPYLTON1,613528
686,HALAMRD1,557032
689,WINGF1_1,519668
690,WINGF2_1,519704
725,BALBG1,557028
63,CALL_A_4,500716
64,CALL_B_1,500716
65,CALL_B_2,500716
71,CPP_3,500716
72,CPP_4,500716
497,None,500716
164,BBTHREE1,624152
165,BBTHREE2,624152
166,BBTHREE3,624152
191,TVPP104,624152
218,LAVNORTH,538496
349,LNGS1,538496
350,LNGS2,538496
107,SWAN_E,500776
115,YABULU,501648
116,YABULU2,501648
497,None,557024
631,EASTCRK2,557024
362,BBDISEL1,624152
530,BBASEHOS,531620
562,LUCAS2S2,486550
563,LUCASHGT,486550
107,SWAN_E,604544