substance_id,substance_name
1,Acetaldehyde
4,Acetonitrile
8,Ammonia (total)
10,Antimony & compounds
11,Arsenic & compounds
12,Benzene
14,Beryllium & compounds
15,"Biphenyl (1,1-biphenyl)"
16,Boron & compounds
17,"1,3-Butadiene (vinyl ethylene)"
18,Cadmium & compounds
19,Carbon disulfide
20,Carbon monoxide
21,Chlorine & compounds
23,Chloroethane (ethyl chloride)
24,Chloroform (trichloromethane)
25,"Chlorophenols (di, tri, tetra)"
26,Chromium (III) compounds
27,Chromium (VI) compounds
28,Cobalt & compounds
29,Copper & compounds
30,Cumene (1-methylethylbenzene)
31,Cyanide (inorganic) compounds
32,Cyclohexane
34,Dibutyl phthalate
35,"1,2-Dichloroethane"
36,Dichloromethane
42,Ethylbenzene
45,Di-(2-Ethylhexyl) phthalate (DEHP)
46,Fluoride compounds
47,Formaldehyde (methyl aldehyde)
49,n-Hexane
50,Hydrochloric acid
52,Lead & compounds
53,Magnesium oxide fume
54,Manganese & compounds
55,Mercury & compounds
56,Methanol
59,Methyl ethyl ketone
60,Methyl isobutyl ketone
61,Methyl methacrylate
64,Nickel & compounds
65,Nickel carbonyl
66,Nickel subsulfide
69,Oxides of Nitrogen
70,Particulate Matter ≤10.0 µm (PM10)
71,Phenol
72,Phosphoric acid
73,Polychlorinated dioxins and furans (TEQ)
74,Polycyclic aromatic hydrocarbons (B[a]Peq)
75,Selenium & compounds
76,Styrene (ethenylbenzene)
77,Sulfur dioxide
78,Sulfuric acid
80,Tetrachloroethylene
81,Toluene (methylbenzene)
83,Total Nitrogen
84,Total Phosphorus
85,Total Volatile Organic Compounds
87,Trichloroethylene
88,Vinyl Chloride Monomer
89,Xylenes (individual or mixed isomers)
90,Zinc and compounds
91,Acrolein
92,Particulate Matter ≤2.5 µm (PM2.5)
93,Polychlorinated Biphenyls 